param,Mean,Median,St.Dev.,95%CI_low,95%CI_upp
beta2[16],-0.2740749472571193,-0.13020321049897432,0.4549745873211997,-1.4349621106739332,0.25898366016392427
beta2[17],-0.3095614922830652,-0.11532770167902737,0.5616159773105746,-1.7147759360210175,0.31060550647255486
beta2[18],-0.15572947972026083,-0.12793744451854047,0.326134616746716,-0.9161547311364548,0.35519514811877045
beta2[19],0.5453013904913258,0.41738703997404464,0.46712732455555067,0.016975959242402264,1.5467902077937346
beta2[20],0.32537049338106744,0.29621914965196927,0.3678174018519307,-0.24750783190692516,1.2878627878708115
beta2[21],0.19101809441941134,0.13964517481373295,0.3138269688728061,-0.29367551002793585,0.9047123995195152
beta2[22],0.7169512971537689,0.49555469915115385,0.6036911042982243,-0.13282121604380273,2.0391202503894643
beta2[23],-0.05057715563186827,-0.03230503912068666,0.32051232721782313,-0.7258850213938842,0.5116410038407873
beta2[24],0.3114007967449877,0.22488504660181946,0.360011600148424,-0.2554421494909126,1.145528652950866
beta2[25],0.46883356438850304,0.35054999894549516,0.38730963579414845,-0.008504077744937815,1.4181591966333478
beta2[26],-0.08018567646998001,-0.021412663828041648,0.3623994146356211,-0.9506632168706654,0.5090150305698542
beta2[27],-0.25089609299722465,-0.1265668730068682,0.5170548188649587,-1.585949993928898,0.34949978366534307
beta2[28],0.07059606464266852,0.07739192313480532,0.2582937366957804,-0.398411667117938,0.6046209094782956
beta2[29],0.23524075172132303,0.2124769475008803,0.34504194697906254,-0.2917122517195697,1.1533130298711172
beta2[30],-0.3093835547939294,-0.15591934773894056,0.5544312125813482,-1.651179494171115,0.3645061054667465
beta2[31],0.26847074134808396,0.15836541453080505,0.437103250888862,-0.25830330852775096,1.3444617111020327
beta2[32],0.4287385992130445,0.28859127293754,0.4242262055474124,-0.0920509270028262,1.3900887575066092
beta2[33],0.04629599246707609,0.069984393127619,0.33588608466653747,-0.5846458074557171,0.6349520110670795
beta2[34],0.5306097303518648,0.43751015972069124,0.49207605953225675,-0.09164336271167493,1.6752328358213506
beta2[35],0.3945735602934286,0.28388438501532154,0.44337463130250376,-0.20343838879798043,1.6050050008955694
beta2[36],1.072108934895222,0.7088266368507787,0.8864722848948762,0.2153861825050957,3.0356818965555483
beta2[37],0.31029213834563707,0.21838295134981328,0.38308606080815955,-0.29390351919625,1.3174200273569123
beta2[38],0.13443612645125727,0.08268405651926952,0.32813020690998895,-0.4137399764960458,0.9261271021346832
beta2[39],-0.12187924510796966,-0.10061990498866114,0.3263214508393296,-0.6998608172966534,0.4928466937406914
beta2[40],0.37027858623487847,0.2878271317220151,0.3299266222826512,-0.1249051960091034,1.0954156767372123
beta2[41],0.4777574625894387,0.3655107983307819,0.45625984241572853,-0.09690144356537982,1.7399528626640777
beta2[42],0.05246180687775979,-0.0033030369848153418,0.2920412319750311,-0.4695480556234754,0.7378490130610228
beta2[43],0.21399633490205514,0.16517785207694516,0.2893924548439938,-0.2124123499574276,0.9118570682349304
beta2[44],0.017020998702675868,0.027009791656218272,0.30765739490405775,-0.7006449714874625,0.6243554456616802
beta2[45],0.5737756522360229,0.4988074528836358,0.430124846817429,0.0330941584389643,1.6549926469071212
beta2[46],0.37476846668352853,0.30793517371115325,0.32595082948421195,-0.15441071684148797,1.2619876339572633
beta2[47],0.9008811672273592,0.5450154457222909,0.7938953329025408,0.1497296889720717,2.6694342065562866
beta2[48],0.6184543105554042,0.42591223067381667,0.527978104936867,-0.015553599250810088,1.9950583307199505
beta2[49],-0.47247591071052786,-0.2744225366411411,0.6422981724973696,-2.5248207620436824,0.12394470146928668
beta2[50],-0.3183248898860655,-0.22518464348322692,0.45258753090332515,-1.7235149842812851,0.21181457691423364
beta2[51],0.41438784045683086,0.23337706370884898,0.5819372417232509,-0.324650923942077,1.6578244647149538
beta2[52],-0.07938986331675846,-0.0357848143528971,0.2900407701470216,-0.8408043350013708,0.4115104893286555
beta2[53],0.31383052630398145,0.2544155943640244,0.36992617000896566,-0.20244008818805695,1.140326742726984
beta2[54],0.21184279829940525,0.19893296684888945,0.3315109870687378,-0.5140563680871565,0.7349937687128878
beta2[55],-0.03166955249072767,-0.05181952129719049,0.25753669067885265,-0.4979471966604134,0.555649661106592
beta2[56],0.770809427154165,0.4878756719592596,0.6951425080518324,0.019182947262643756,2.3975589002294306
beta2[57],0.10173790938750908,0.08711344866260051,0.3497389247908064,-0.7424881111375006,0.7175337383335908
beta2[58],0.49152950176428756,0.44292246235022087,0.32236416869455864,0.0066576962534113885,1.1675645022122842
beta2[59],1.0995619204331153,0.732152144557809,0.8561630594115729,0.2876738307752229,3.2796609453582297
beta2[60],0.22037099639210447,0.16571763113190702,0.3730024664780093,-0.39784961070074887,1.1719278610535506
beta2[61],0.266170528044405,0.1994169713325527,0.38836180137688925,-0.2670010836824066,1.2307109698546128
beta2[62],0.6820955403949064,0.4868731820444794,0.6197909501714407,0.012368022715158938,2.1560630396432154
beta2[63],0.5639516167652519,0.41267136342682886,0.5116704321782306,-0.15918879906794456,1.6935690132772225
beta2[64],0.29907166340790375,0.2422080543462941,0.388044087964593,-0.3583024779348223,1.171151009405682
beta2[65],0.0677218572521066,0.0612823581878906,0.3591133623036191,-0.6317636645428972,0.8319196633551776
beta2[66],0.3294653801959504,0.24101199539124024,0.40225625303924667,-0.2987179279665658,1.2653781252447522
beta2[67],0.2982901515645709,0.2004778288416315,0.41394844325047747,-0.23936552095437416,1.311069582830728
beta2[68],0.6562494700207651,0.4806397523118613,0.5204887150390717,0.062021477989153084,2.022578132328528
beta3[1],-0.47683869987748956,-0.28352985538064424,0.5744346203172878,-1.9100305704550595,0.1644311132319842
beta3[2],-0.5197009835114693,-0.3809781147211019,0.5733952686669592,-1.8386554169689693,0.26841123950685397
beta3[3],0.2605426999851537,0.19622476163004832,0.31567002288109,-0.17455703647925333,0.9713899152081817
beta3[4],0.5862997909437739,0.5889587444880766,0.3523941595185567,0.007997415249406357,1.2275800944965114
beta3[5],0.5596038077843981,0.4083974610435398,0.5349587214516406,-0.07602145174173276,2.0671254080462313
beta3[6],-0.7218992308453372,-0.6268884736189719,0.5352146771769248,-1.9626791137480604,-0.01769625309091038
beta3[7],0.6463096473572054,0.5438769847866092,0.4642772409259873,-0.007466685302510084,1.7099319817186411
beta3[8],0.24284827531612255,0.2074295024877841,0.32047127286120713,-0.2633993081197652,1.018387627611131
beta3[9],0.6221748013670284,0.5826590578424565,0.38408129149585507,0.1222887045040465,1.643478525618265
beta3[10],0.13770688515171728,0.14323921244374313,0.2980585285570234,-0.5913929581375578,0.7612058832892691
beta3[11],0.13411539328289654,0.10735043940305178,0.3189029993568936,-0.35341831046467037,0.856964696652227
beta3[12],-0.5210633361628193,-0.4674697232711818,0.46909418442291334,-1.4451061923778956,0.15947579997543962
beta3[13],0.2274685822713732,0.19772261289762305,0.3268471778149961,-0.3030286710283299,0.9248786365823761
beta3[14],-0.074355977755765093,-0.041614178165514625,0.342286943108327,-0.869353299120809,0.41354374490127727
beta3[15],-0.1659603845726139,-0.09144214037391887,0.39893073177428856,-1.2990145743088817,0.3903939646751201
beta3[16],-0.8122587881128209,-0.6032963249759661,0.6739464347040633,-2.6366951765270352,-0.010597819309543885
beta3[17],-0.0011297482564766243,0.002178885768600758,0.34089033698761834,-0.6374173146606782,0.7014858650297217
beta3[18],-0.3899077161905458,-0.33285409374522124,0.4652637917904784,-1.5615778567671865,0.28432259680437777
beta3[19],0.42296410080043234,0.37204446206223996,0.3941421925216944,-0.16923915783620888,1.3781092359332292
beta3[20],0.35551722649577716,0.2487901920776619,0.43468863595720736,-0.2329616443148155,1.4718651967162864
beta3[21],0.22456502410274384,0.20389926557816931,0.31452247573234476,-0.28996597517921124,0.9042145184463799
beta3[22],-0.2126809745547456,-0.15476250828406485,0.40375030600022055,-1.2188115766510699,0.3775349660726604
beta3[23],-0.544798956066017,-0.3426027732736215,0.5562435690584253,-1.9933456617357495,0.11952627268132296
beta3[24],0.3216843233987544,0.32314727941691557,0.34584556214136974,-0.402132643915744,1.0142226829020853
beta3[25],1.0254158304442655,0.8439592630122718,0.653086041914229,0.24898560968824635,2.633027204658202
beta3[26],-0.20769313390506122,-0.12949478778522358,0.4628945372165652,-1.5681430844069828,0.41255396325827554
beta3[27],-0.16599219439477794,-0.07029764028441818,0.4067485797522805,-1.2931843346623357,0.46309426540388793
beta3[28],-0.1458625313723952,-0.0921788532065461,0.33517494350411725,-0.8071194351277282,0.3615385077527159
beta3[29],0.06537554075946667,0.081700040301742,0.31370037576339393,-0.547048815501011,0.6655352736171353
beta3[30],0.3550063307824655,0.2733726141848922,0.37354039108395964,-0.22164606877217224,1.2860832722141635
